university_title_full,course_local_id,course_title_full,course_level,course_track,course_semester,course_credits,course_credits_type,course_link_descrip
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CNANM,Computer Network Architectures and Network Management,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/CNANM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,MGTN,Mechanisms and Game Theory in Networks,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/MGTN-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SANS,Statistical Analysis of Networks and Systems,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SANS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SNM,Stochastic Network Modelling,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SNM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CCBDA,Cloud Computing and Big Data Analytics,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/CCBDA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,DS,Decentralized Systems,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/DS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,FPEI,Financing for Innovative Business Projects,Master,Informatics Engineering,Spring,1.5,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/FPEI-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,IKPD,Incorporating The Know-How Into The Decision Process,Master,Informatics Engineering,Fall,1.5,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/IKPD-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,MEEGQ,EFQM and Quality Management,Master,Informatics Engineering,Fall,1.5,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/MEEGQ-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SECS,"Sustainability, Economy and Social Commitment",Master,Informatics Engineering,Fall,1.5,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/SECS-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ARCA,Realistic Animation of Articulated Bodies,Master,Informatics Engineering,Fall,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/ARCA-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,CC,Cloud Computing,Master,Informatics Engineering,Spring,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/CC-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,DSIGE,Software Development for Geographic Ans Spacial Information,Master,Informatics Engineering,Spring,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/DSIGE-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,IA,Interfaces and Accessibility,Master,Informatics Engineering,,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/IA-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ID,Digital Identity,Master,Informatics Engineering,Fall,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/ID-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,FINE,Future Internet Networks,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/FINE-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,IAS,Internet Applications and Security,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/IAS-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,DAKD,Data Analysis and Knowledge Discovery,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/DAKD-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,DW,Data Warehousing,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/DW-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ML,Machine Learning,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/ML-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,MVA,Multivariate Analysis,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/MVA-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,OD,Open Data,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/OD-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ADM,Algorithmics for Data Mining,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/ADM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,AHLT,Advanced Human Languages Technologies,Master,Innovation and Research in Informatics,Spring,5,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/AHLT-MAI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,IESI,Business Integration of Information Systems,Master,Informatics Engineering,,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/IESI-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,IT,Internet of Things,Master,Informatics Engineering,Spring,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/IT-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,JC,Computer Games,Master,Informatics Engineering,Spring,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/JC-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,PTDMA,Programming of Cell Phones and Mobile Autonomous Devices,Master,Informatics Engineering,Spring,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/PTDMA-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,TEB,Techniques and Tools for Bioinformatics,Master,Informatics Engineering,Fall,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/TEB-MEI
